
#########
# 五年生 #
########

荷物（にもつ）を預（あず）ける	déposer des bagages
子供（こども）を友人（ゆうじん）に預（あず）ける	confier ses enfants à un ami
お年玉（としだま）	cadeau de la nouvelle année
預（あず）かり証（しょう）	bagage check/receipt
定期的（ていきてき）に	périodiquement, régulièrement
定期券（ていきけん）	ticket d'abonnement

預金（よきん）がある	avoir un compte en banque
口座（こうざ）がある	avoir un compte en banque
預金（よきん）を引（ひ）き出（き）す	retirer de l'argent
口座（こうざ）預金（よきん）	compte courant
預金（よきん）する	déposer de l'arger à la banque

口座（こうざ）の住（す）まい	habitation temporaire
口座（こうざ）は	pour le moment...

フランス領（りょう）	territoire français
広大（こうだい）な領土（りょうど）	large territoire
領土（りょうど）の安全（あんぜん）	sécurité du territoire
王（おう）が王国（おうこく）を治（おさ）める	le roi gouverne le royaume
敵国（てきこく）を占領（せんりょう）する	s'emparer d'un pays, occuper un pays
囚（とら）われの身（み）となる	se faire emprisonner

要領（ようりょう）のいい人（ひと）	personne adroite
泳（およ）ぎ方（かた）の要領（ようりょう）	façon de nager

秀（ひい）でた額（ひたい）を持（も）つ	avoir un beau (lit. excellent) front
絵（え）を額（がく）に入（い）れる	encadrer un tableau

大（おお）きな金額（きんがく）	grosse somme d'argent
わずがの金額（きんがく）	petite somme d'argent

黒板（こくばん）の字（じ）が見えない	ne pas voir ce qui est écrit au tableau
眼（まなこ）	oeil
眼科（がんか）	ophtalmologie
眼科医（がんかい）	ophtalmologue
両眼（りょうがん)ともの視力（しりょく）が落（お）ちた	la vue des deux yeux a diminué
近眼（きんがん）用（よう）のめがね	lunettes pour la vue de près

小説家（小説家）になる	devenir romancier
文学賞（ぶんがくしょう）をもらう夢（ゆめ）	le rêve de recevoir un prix de littérature
正夢（まさゆめ）だったら、いいな	si mon rêve pouvait se réaliser !
彼はスポーツに夢中（むちゅう）だ	le sport le passionne
夢中（むちゅう）になって愛（あい）する	être passionnément amoureux

市議会（しぎかい）	conseil municipal
法案（ほうあん）が可決（かけつ）された	le projet de loi a été adopté
可（か）	acceptable
許可（きょか）をもらう	recevoir la permission
入学許可（にゅうがくきょか）	admission dans une école
可能（かのう）である	être possible
舌（した）を噛（か）む	se mordre la langue
舌触(したざわ）り	goût dans le palais
ワインの産地（さんち）	origine du vin
舌（した）を巻（ま）く	rouler sa langue

句（く）	phrase
俳句（はいく）	haiku
本を借（か）りる	emprunter un livre
難（むずか）しい語句（ごく）	mots, expression difficiles
大人（おとな）向（む）け	pour les adultes
歌（うた）の文句（もんく）	paroles d'une chansons
文句（もんく）を言う	se plaindre
決（き）まり文句（もんく）	cliché, banalité, formule toute faite
