【ＪＩＳコードのリスト】
        ＪＩＳ Ｘ ０２０８

JIS     SJIS    char    区点
-----------------------------
2121    8140    　      01-01
2122    8141    、      01-02
2123    8142    。      01-03
2124    8143    ，      01-04
2125    8144    ．      01-05
2126    8145    ・      01-06
2127    8146    ：      01-07
2128    8147    ；      01-08
2129    8148    ？      01-09
212a    8149    ！      01-10
212b    814a    ゛      01-11
212c    814b    ゜      01-12
212d    814c    ´      01-13
212e    814d    ｀      01-14
212f    814e    ¨      01-15
2130    814f    ＾      01-16
2131    8150    ￣      01-17
2132    8151    ＿      01-18
2133    8152    ヽ      01-19
2134    8153    ヾ      01-20
2135    8154    ゝ      01-21
2136    8155    ゞ      01-22
2137    8156    〃      01-23
2138    8157    仝      01-24
2139    8158    々      01-25
213a    8159    〆      01-26
213b    815a    〇      01-27
213c    815b    ー      01-28
213d    815c    ―      01-29
213e    815d    ‐      01-30
213f    815e    ／      01-31
2140    815f    ＼      01-32
2141    8160    〜      01-33
2142    8161    ‖      01-34
2143    8162    ｜      01-35
2144    8163    …      01-36
2145    8164    ‥      01-37
2146    8165    ‘      01-38
2147    8166    ’      01-39
2148    8167    “      01-40
2149    8168    ”      01-41
214a    8169    （      01-42
214b    816a    ）      01-43
214c    816b    〔      01-44
214d    816c    〕      01-45
214e    816d    ［      01-46
214f    816e    ］      01-47
2150    816f    ｛      01-48
2151    8170    ｝      01-49
2152    8171    〈      01-50
2153    8172    〉      01-51
2154    8173    《      01-52
2155    8174    》      01-53
2156    8175    「      01-54
2157    8176    」      01-55
2158    8177    『      01-56
2159    8178    』      01-57
215a    8179    【      01-58
215b    817a    】      01-59
215c    817b    ＋      01-60
215d    817c    −      01-61
215e    817d    ±      01-62
215f    817e    ×      01-63
2160    8180    ÷      01-64
2161    8181    ＝      01-65
2162    8182    ≠      01-66
2163    8183    ＜      01-67
2164    8184    ＞      01-68
2165    8185    ≦      01-69
2166    8186    ≧      01-70
2167    8187    ∞      01-71
2168    8188    ∴      01-72
2169    8189    ♂      01-73
216a    818a    ♀      01-74
216b    818b    °      01-75
216c    818c    ′      01-76
216d    818d    ″      01-77
216e    818e    ℃      01-78
216f    818f    ￥      01-79
2170    8190    ＄      01-80
2171    8191    ¢      01-81
2172    8192    £      01-82
2173    8193    ％      01-83
2174    8194    ＃      01-84
2175    8195    ＆      01-85
2176    8196    ＊      01-86
2177    8197    ＠      01-87
2178    8198    §      01-88
2179    8199    ☆      01-89
217a    819a    ★      01-90
217b    819b    ○      01-91
217c    819c    ●      01-92
217d    819d    ◎      01-93
217e    819e    ◇      01-94
2221    819f    ◆      02-01
2222    81a0    □      02-02
2223    81a1    ■      02-03
2224    81a2    △      02-04
2225    81a3    ▲      02-05
2226    81a4    ▽      02-06
2227    81a5    ▼      02-07
2228    81a6    ※      02-08
2229    81a7    〒      02-09
222a    81a8    →      02-10
222b    81a9    ←      02-11
222c    81aa    ↑      02-12
222d    81ab    ↓      02-13
222e    81ac    〓      02-14
223a    81b8    ∈      02-26
223b    81b9    ∋      02-27
223c    81ba    ⊆      02-28
223d    81bb    ⊇      02-29
223e    81bc    ⊂      02-30
223f    81bd    ⊃      02-31
2240    81be    ∪      02-32
2241    81bf    ∩      02-33
224a    81c8    ∧      02-42
224b    81c9    ∨      02-43
224c    81ca    ¬      02-44
224d    81cb    ⇒      02-45
224e    81cc    ⇔      02-46
224f    81cd    ∀      02-47
2250    81ce    ∃      02-48
225c    81da    ∠      02-60
225d    81db    ⊥      02-61
225e    81dc    ⌒      02-62
225f    81dd    ∂      02-63
2260    81de    ∇      02-64
2261    81df    ≡      02-65
2262    81e0    ≒      02-66
2263    81e1    ≪      02-67
2264    81e2    ≫      02-68
2265    81e3    √      02-69
2266    81e4    ∽      02-70
2267    81e5    ∝      02-71
2268    81e6    ∵      02-72
2269    81e7    ∫      02-73
226a    81e8    ∬      02-74
2272    81f0    Å      02-82
2273    81f1    ‰      02-83
2274    81f2    ♯      02-84
2275    81f3    ♭      02-85
2276    81f4    ♪      02-86
2277    81f5    †      02-87
2278    81f6    ‡      02-88
2279    81f7    ¶      02-89
227e    81fc    ◯      02-94
2330    824f    ０      03-16
2331    8250    １      03-17
2332    8251    ２      03-18
2333    8252    ３      03-19
2334    8253    ４      03-20
2335    8254    ５      03-21
2336    8255    ６      03-22
2337    8256    ７      03-23
2338    8257    ８      03-24
2339    8258    ９      03-25
2341    8260    Ａ      03-33
2342    8261    Ｂ      03-34
2343    8262    Ｃ      03-35
2344    8263    Ｄ      03-36
2345    8264    Ｅ      03-37
2346    8265    Ｆ      03-38
2347    8266    Ｇ      03-39
2348    8267    Ｈ      03-40
2349    8268    Ｉ      03-41
234a    8269    Ｊ      03-42
234b    826a    Ｋ      03-43
234c    826b    Ｌ      03-44
234d    826c    Ｍ      03-45
234e    826d    Ｎ      03-46
234f    826e    Ｏ      03-47
2350    826f    Ｐ      03-48
2351    8270    Ｑ      03-49
2352    8271    Ｒ      03-50
2353    8272    Ｓ      03-51
2354    8273    Ｔ      03-52
2355    8274    Ｕ      03-53
2356    8275    Ｖ      03-54
2357    8276    Ｗ      03-55
2358    8277    Ｘ      03-56
2359    8278    Ｙ      03-57
235a    8279    Ｚ      03-58
2361    8281    ａ      03-65
2362    8282    ｂ      03-66
2363    8283    ｃ      03-67
2364    8284    ｄ      03-68
2365    8285    ｅ      03-69
2366    8286    ｆ      03-70
2367    8287    ｇ      03-71
2368    8288    ｈ      03-72
2369    8289    ｉ      03-73
236a    828a    ｊ      03-74
236b    828b    ｋ      03-75
236c    828c    ｌ      03-76
236d    828d    ｍ      03-77
236e    828e    ｎ      03-78
236f    828f    ｏ      03-79
2370    8290    ｐ      03-80
2371    8291    ｑ      03-81
2372    8292    ｒ      03-82
2373    8293    ｓ      03-83
2374    8294    ｔ      03-84
2375    8295    ｕ      03-85
2376    8296    ｖ      03-86
2377    8297    ｗ      03-87
2378    8298    ｘ      03-88
2379    8299    ｙ      03-89
237a    829a    ｚ      03-90
2421    829f    ぁ      04-01
2422    82a0    あ      04-02
2423    82a1    ぃ      04-03
2424    82a2    い      04-04
2425    82a3    ぅ      04-05
2426    82a4    う      04-06
2427    82a5    ぇ      04-07
2428    82a6    え      04-08
2429    82a7    ぉ      04-09
242a    82a8    お      04-10
242b    82a9    か      04-11
242c    82aa    が      04-12
242d    82ab    き      04-13
242e    82ac    ぎ      04-14
242f    82ad    く      04-15
2430    82ae    ぐ      04-16
2431    82af    け      04-17
2432    82b0    げ      04-18
2433    82b1    こ      04-19
2434    82b2    ご      04-20
2435    82b3    さ      04-21
2436    82b4    ざ      04-22
2437    82b5    し      04-23
2438    82b6    じ      04-24
2439    82b7    す      04-25
243a    82b8    ず      04-26
243b    82b9    せ      04-27
243c    82ba    ぜ      04-28
243d    82bb    そ      04-29
243e    82bc    ぞ      04-30
243f    82bd    た      04-31
2440    82be    だ      04-32
2441    82bf    ち      04-33
2442    82c0    ぢ      04-34
2443    82c1    っ      04-35
2444    82c2    つ      04-36
2445    82c3    づ      04-37
2446    82c4    て      04-38
2447    82c5    で      04-39
2448    82c6    と      04-40
2449    82c7    ど      04-41
244a    82c8    な      04-42
244b    82c9    に      04-43
244c    82ca    ぬ      04-44
244d    82cb    ね      04-45
244e    82cc    の      04-46
244f    82cd    は      04-47
2450    82ce    ば      04-48
2451    82cf    ぱ      04-49
2452    82d0    ひ      04-50
2453    82d1    び      04-51
2454    82d2    ぴ      04-52
2455    82d3    ふ      04-53
2456    82d4    ぶ      04-54
2457    82d5    ぷ      04-55
2458    82d6    へ      04-56
2459    82d7    べ      04-57
245a    82d8    ぺ      04-58
245b    82d9    ほ      04-59
245c    82da    ぼ      04-60
245d    82db    ぽ      04-61
245e    82dc    ま      04-62
245f    82dd    み      04-63
2460    82de    む      04-64
2461    82df    め      04-65
2462    82e0    も      04-66
2463    82e1    ゃ      04-67
2464    82e2    や      04-68
2465    82e3    ゅ      04-69
2466    82e4    ゆ      04-70
2467    82e5    ょ      04-71
2468    82e6    よ      04-72
2469    82e7    ら      04-73
246a    82e8    り      04-74
246b    82e9    る      04-75
246c    82ea    れ      04-76
246d    82eb    ろ      04-77
246e    82ec    ゎ      04-78
246f    82ed    わ      04-79
2470    82ee    ゐ      04-80
2471    82ef    ゑ      04-81
2472    82f0    を      04-82
2473    82f1    ん      04-83
2521    8340    ァ      05-01
2522    8341    ア      05-02
2523    8342    ィ      05-03
2524    8343    イ      05-04
2525    8344    ゥ      05-05
2526    8345    ウ      05-06
2527    8346    ェ      05-07
2528    8347    エ      05-08
2529    8348    ォ      05-09
252a    8349    オ      05-10
252b    834a    カ      05-11
252c    834b    ガ      05-12
252d    834c    キ      05-13
252e    834d    ギ      05-14
252f    834e    ク      05-15
2530    834f    グ      05-16
2531    8350    ケ      05-17
2532    8351    ゲ      05-18
2533    8352    コ      05-19
2534    8353    ゴ      05-20
2535    8354    サ      05-21
2536    8355    ザ      05-22
2537    8356    シ      05-23
2538    8357    ジ      05-24
2539    8358    ス      05-25
253a    8359    ズ      05-26
253b    835a    セ      05-27
253c    835b    ゼ      05-28
253d    835c    ソ      05-29
253e    835d    ゾ      05-30
253f    835e    タ      05-31
2540    835f    ダ      05-32
2541    8360    チ      05-33
2542    8361    ヂ      05-34
2543    8362    ッ      05-35
2544    8363    ツ      05-36
2545    8364    ヅ      05-37
2546    8365    テ      05-38
2547    8366    デ      05-39
2548    8367    ト      05-40
2549    8368    ド      05-41
254a    8369    ナ      05-42
254b    836a    ニ      05-43
254c    836b    ヌ      05-44
